	urls
0	https://www.cars-data.com/en/audi-s3-1999/102
1	https://www.cars-data.com/en/audi-a6-avant-2018/4131
2	https://www.cars-data.com/en/honda-civic-tourer-2015/3827
3	https://www.cars-data.com/en/renault-kadjar-2015/4000
4	https://www.cars-data.com/en/buick-park-avenue-1991/3036
5	https://www.cars-data.com/en/opel-rekord-1984/3494
6	https://www.cars-data.com/en/bmw-z4-roadster-2009/323
7	https://www.cars-data.com/en/peugeot-504-1979/3968
8	https://www.cars-data.com/en/bmw-3-serie-touring-2001/257
9	https://www.cars-data.com/en/renault-laguna-2001/2161
10	https://www.cars-data.com/en/citroen-zx-1994/510
11	https://www.cars-data.com/en/toyota-cressida-1981/4060
12	https://www.cars-data.com/en/porsche-cayenne-2007/2087
13	https://www.cars-data.com/en/austin-metro-1981/3027
14	https://www.cars-data.com/en/maybach-62-2002/1312
15	https://www.cars-data.com/en/aston-martin-db7-1994/62
16	https://www.cars-data.com/en/toyota-yaris-2017/4092
17	https://www.cars-data.com/en/aston-martin-virage-volante-2012/3702
18	https://www.cars-data.com/en/alfa-romeo-147-2005/13
19	https://www.cars-data.com/en/alfa-romeo-159-2005/24
20	https://www.cars-data.com/en/mazda-mpv-1999/1419
21	https://www.cars-data.com/en/fiat-tipo-2017/3799
22	https://www.cars-data.com/en/mini-cabrio-2009/1590
23	https://www.cars-data.com/en/aston-martin-db11-coupe-2016/3563
24	https://www.cars-data.com/en/ford-cougar-1998/708
25	https://www.cars-data.com/en/ford-transit-kombi-2012/3172
26	https://www.cars-data.com/en/nissan-evalia-2011/3924
27	https://www.cars-data.com/en/mercedes-benz-c-class-1993/1465
28	https://www.cars-data.com/en/ford-sierra-stationwagon-1990/841
29	https://www.cars-data.com/en/kia-stinger-2017/4226
30	https://www.cars-data.com/en/renault-clio-2001/2127
31	https://www.cars-data.com/en/ferrari-f512-m-1994/3590
32	https://www.cars-data.com/en/volkswagen-crosspolo-2010/2862
33	https://www.cars-data.com/en/jaguar-x-type-estate-2004/1063
34	https://www.cars-data.com/en/jaguar-xj-2003/1072
35	https://www.cars-data.com/en/fiat-regata-weekend-1985/3791
36	https://www.cars-data.com/en/toyota-rav4-2010/2740
37	https://www.cars-data.com/en/nissan-x-trail-2001/1809
38	https://www.cars-data.com/en/fiat-multipla-1998/649
39	https://www.cars-data.com/en/bentley-arnage-2002/225
40	https://www.cars-data.com/en/mercedes-benz-c-class-2011/1471
41	https://www.cars-data.com/en/kia-carens-2013/3182
42	https://www.cars-data.com/en/bmw-x3-2010/311
43	https://www.cars-data.com/en/opel-agila-2008/1815
44	https://www.cars-data.com/en/toyota-corolla-2004/2680
45	https://www.cars-data.com/en/porsche-carrera-gt-2003/3982
46	https://www.cars-data.com/en/suzuki-baleno-1997/2511
47	https://www.cars-data.com/en/talbot-1100-1979/3110
48	https://www.cars-data.com/en/mini-mini-2010/1598
49	https://www.cars-data.com/en/volvo-s60-2004/2945
50	https://www.cars-data.com/en/mercedes-benz-c-class-2018/4258
51	https://www.cars-data.com/en/mazda-929-legato-1980/3858
52	https://www.cars-data.com/en/toyota-corolla-touring-sports-2019/4337
53	https://www.cars-data.com/en/mazda-xedos-9-1998/3459
54	https://www.cars-data.com/en/toyota-carina-e-stationwagon-1993/2631
55	https://www.cars-data.com/en/renault-megane-2006/2181
56	https://www.cars-data.com/en/daihatsu-sirion-2-2005/593
57	https://www.cars-data.com/en/chevrolet-corvette-convertible-1998/362
58	https://www.cars-data.com/en/ford-focus-2008/760
59	https://www.cars-data.com/en/kia-ceed-sw-2012/1125
60	https://www.cars-data.com/en/bmw-6-serie-2004/290
61	https://www.cars-data.com/en/ferrari-550-maranello-1996/2984
62	https://www.cars-data.com/en/lexus-ls-2003/1290
63	https://www.cars-data.com/en/ford-focus-c-max-2003/774
64	https://www.cars-data.com/en/honda-accord-1999/855
65	https://www.cars-data.com/en/suzuki-alto-1994/2498
66	https://www.cars-data.com/en/renault-kadjar-2018/4310
67	https://www.cars-data.com/en/ford-escort-1995/718
68	https://www.cars-data.com/en/mazda-121-1988/1313
69	https://www.cars-data.com/en/cadillac-cts-2015/3572
70	https://www.cars-data.com/en/audi-a6-allroad-2014/3729
71	https://www.cars-data.com/en/renault-grand-modus-2008/2207
72	https://www.cars-data.com/en/toyota-rav4-2013/3244
73	https://www.cars-data.com/en/daihatsu-charade-1996/552
74	https://www.cars-data.com/en/honda-cr-v-2018/4194
75	https://www.cars-data.com/en/peugeot-106-1991/1951
76	https://www.cars-data.com/en/opel-movano-combi-2014/3351
77	https://www.cars-data.com/en/audi-s3-limousine-2014/3712
78	https://www.cars-data.com/en/lotus-exige-2004/1305
79	https://www.cars-data.com/en/renault-alpine-1985/3991
80	https://www.cars-data.com/en/josse-indigo-3000-1998/3075
81	https://www.cars-data.com/en/hyundai-pony-1981/1021
82	https://www.cars-data.com/en/opel-manta-cc-1982/3488
83	https://www.cars-data.com/en/chevrolet-alero-1999/343
84	https://www.cars-data.com/en/skoda-yeti-outdoor-2014/3235
85	https://www.cars-data.com/en/renault-captur-2017/4308
86	https://www.cars-data.com/en/skoda-fabia-combi-2004/2380
87	https://www.cars-data.com/en/peugeot-306-1994/1986
88	https://www.cars-data.com/en/nissan-micra-2008/1728
89	https://www.cars-data.com/en/lexus-es-2018/4239
90	https://www.cars-data.com/en/renault-megane-estate-2013/4002
91	https://www.cars-data.com/en/alfa-romeo-33-1990/34
92	https://www.cars-data.com/en/mercedes-benz-glc-coupe-2019/4268
93	https://www.cars-data.com/en/bmw-3-serie-2015/3407
