http://www.cars-data.com//en/mitsubishi-eclipse-cross-1.5-di-t-2wd-intense-s-specs/82808	Mitsubishi Eclipse Cross 1.5 DI-T 2WD Intense S	Mitsubishi Eclipse Cross	Mitsubishi	33.570	E	suv/crossover	4405	1685 mm	1805 mm	1400 kg	1400 kg	151 g/km	2018	petrol	2	5	6	5	gearbox	341 l	-	10,3 s	front	63 l	6,6 l/100km	205 km/h	650 kg	1600 kg	dohc	petrol	1499 cc	0 KW	250 Nm
http://www.cars-data.com//en/subaru-mini-jumbo-sdx-specs/46756	Subaru Mini Jumbo SDX	Subaru Mini Jumbo	Subaru	6.623	N.A.	hatchback	3195	1420 mm	1395 mm	612 kg	612 kg		1988	petrol	2	5	4	5	gearbox	200 l	50 kg	20,7 s	front	32 l		130 km/h	398 kg	500 kg	ohc	petrol	665 cc	27 KW	54 Nm
http://www.cars-data.com//en/subaru-mini-jumbo-4-sdx-specs/46757	Subaru Mini Jumbo 4 SDX	Subaru Mini Jumbo	Subaru	7.555	N.A.	hatchback	3275	1420 mm	1395 mm	645 kg	645 kg		1989	petrol	2	5	5	5	gearbox	200 l	50 kg	17,0 s	front	32 l	5,7 l/100km	136 km/h	365 kg	500 kg	ohc	petrol	758 cc	31 KW	59 Nm
http://www.cars-data.com//en/cadillac-escalade-6.2-v8-premium-specs/73580	Cadillac Escalade 6.2 V8 Premium	Cadillac Escalade	Cadillac	166.660	G	suv/crossover	5179	1896 mm	2061 mm	2751 kg	2751 kg	302 g/km	2015	petrol	2	5	8	7	gearbox	431-2668 l	- kg	6,7 s	front+rear	98 l	13,1 l/100km	180 km/h	560 kg	3100 kg	ohv	petrol	6162 cc	313 KW	610 Nm
http://www.cars-data.com//en/cadillac-escalade-6.2-v8-platinum-specs/73581	Cadillac Escalade 6.2 V8 Platinum	Cadillac Escalade	Cadillac	179.880	G	suv/crossover	5179	1896 mm	2061 mm	2751 kg	2751 kg	302 g/km	2015	petrol	2	5	8	7	gearbox	431-2668 l	- kg	6,7 s	front+rear	98 l	13,1 l/100km	180 km/h	560 kg	3100 kg	ohv	petrol	6162 cc	313 KW	610 Nm
http://www.cars-data.com//en/cadillac-escalade-6.2-v8-esv-premium-specs/73582	Cadillac Escalade 6.2 V8 ESV Premium	Cadillac Escalade	Cadillac	172.150	F	suv/crossover	5697	1886 mm	2061 mm	2767 kg	2767 kg	302 g/km	2015	petrol	2	5	8	7	gearbox	1113-3424 l	- kg	6,9 s	front+rear	117 l	13,1 l/100km	180 km/h	635 kg	3000 kg	ohv	petrol	6162 cc	313 KW	610 Nm
http://www.cars-data.com//en/cadillac-escalade-6.2-v8-esv-platinum-specs/73583	Cadillac Escalade 6.2 V8 ESV Platinum	Cadillac Escalade	Cadillac	185.370	F	suv/crossover	5697	1886 mm	2061 mm	2767 kg	2767 kg	302 g/km	2015	petrol	2	5	8	7	gearbox	1113-3424 l	- kg	6,9 s	front+rear	117 l	13,1 l/100km	180 km/h	635 kg	3000 kg	ohv	petrol	6162 cc	313 KW	610 Nm
http://www.cars-data.com//en/mini-cabrio-cooper-pepper-specs/25623	Mini Cabrio Cooper Pepper	Mini Cabrio	Mini	28.045	G	cabriolet	3655	1418 mm	1688 mm	1150 kg	1150 kg	174 g/km	2004	petrol	2	2	5	4	gearbox	120-605 l		9,8 s	front	50 l	7,3 l/100km	193 km/h	425 kg	650 kg	dohc	petrol	1598 cc	85 KW	150 Nm
http://www.cars-data.com//en/mini-cabrio-one-salt-specs/25618	Mini Cabrio One Salt	Mini Cabrio	Mini	25.755	G	cabriolet	3655	1418 mm	1688 mm	1140 kg	1140 kg	168 g/km	2004	petrol	2	2	5	4	gearbox	120-605 l		11,8 s	front	50 l	7,0 l/100km	175 km/h	425 kg	650 kg	dohc	petrol	1598 cc	66 KW	140 Nm
http://www.cars-data.com//en/mini-cabrio-cooper-s-chili-specs/25631	Mini Cabrio Cooper S Chili	Mini Cabrio	Mini	38.335	G	cabriolet	3655	1418 mm	1688 mm	1215 kg	1215 kg	199 g/km	2004	petrol	2	2	6	4	gearbox	120-605 l		7,4 s	front	50 l	8,3 l/100km	215 km/h	425 kg		dohc	petrol	1598 cc	125 KW	220 Nm
http://www.cars-data.com//en/mini-cabrio-cooper-s-specs/25629	Mini Cabrio Cooper S	Mini Cabrio	Mini	35.160	G	cabriolet	3655	1418 mm	1688 mm	1215 kg	1215 kg	199 g/km	2004	petrol	2	2	6	4	gearbox	120-605 l		7,4 s	front	50 l	8,3 l/100km	215 km/h	425 kg		dohc	petrol	1598 cc	125 KW	220 Nm
http://www.cars-data.com//en/mini-cabrio-one-pepper-specs/25619	Mini Cabrio One Pepper	Mini Cabrio	Mini	26.250	G	cabriolet	3655	1418 mm	1688 mm	1140 kg	1140 kg	168 g/km	2004	petrol	2	2	5	4	gearbox	120-605 l		11,8 s	front	50 l	7,0 l/100km	175 km/h	425 kg	650 kg	dohc	petrol	1598 cc	66 KW	140 Nm
http://www.cars-data.com//en/mini-cabrio-cooper-specs/25621	Mini Cabrio Cooper	Mini Cabrio	Mini	26.990	G	cabriolet	3655	1418 mm	1688 mm	1150 kg	1150 kg	174 g/km	2004	petrol	2	2	5	4	gearbox	120-605 l		9,8 s	front	50 l	7,3 l/100km	193 km/h	425 kg	650 kg	dohc	petrol	1598 cc	85 KW	150 Nm
http://www.cars-data.com//en/mini-cabrio-cooper-chili-specs/25625	Mini Cabrio Cooper Chili	Mini Cabrio	Mini	30.095	G	cabriolet	3655	1418 mm	1688 mm	1150 kg	1150 kg	174 g/km	2004	petrol	2	2	5	4	gearbox	120-605 l		9,8 s	front	50 l	7,3 l/100km	193 km/h	425 kg	650 kg	dohc	petrol	1598 cc	85 KW	150 Nm
http://www.cars-data.com//en/mini-cabrio-one-specs/25617	Mini Cabrio One	Mini Cabrio	Mini	24.045	G	cabriolet	3655	1418 mm	1688 mm	1140 kg	1140 kg	168 g/km	2004	petrol	2	2	5	4	gearbox	120-605 l		11,8 s	front	50 l	7,0 l/100km	175 km/h	425 kg	650 kg	dohc	petrol	1598 cc	66 KW	140 Nm
http://www.cars-data.com//en/mini-cabrio-cooper-s-sidewalk-specs/25634	Mini Cabrio Cooper S Sidewalk	Mini Cabrio	Mini	42.015	G	cabriolet	3655	1418 mm	1688 mm	1235 kg	1235 kg	208 g/km	2007	petrol	2	2	6	4	gearbox	120-605 l		7,4 s	front	50 l	8,7 l/100km	215 km/h	425 kg		dohc	petrol	1598 cc	125 KW	220 Nm
