http://www.cars-data.com//en/audi-s3-quattro-specs/1962	Audi S3 quattro	Audi S3	Audi	42.247	G	hatchback	4159	1415 mm	1763 mm	1375 kg	1375 kg	218 g/km	1999	petrol	2	3	6	5	gearbox	270-1020 l	75 kg	6,8 s	front+rear	55 l	9,1 l/100km	238 km/h	560 kg	1600 kg	dohc	petrol	1781 cc	154 KW	270 Nm
http://www.cars-data.com//en/audi-a6-avant-40-tdi-specs/80357	Audi A6 Avant 40 TDI	Audi A6 Avant	Audi	64.450	C	stationwagon	4939	1494 mm	1886 mm	1685 kg	1685 kg	118 g/km	2018	diesel	2	5	7	5	gearbox	565-1680 l	100 kg	8,3 s	front	73 l	4,5 l/100km	241 km/h	645 kg	2000 kg	dohc	diesel	1968 cc	0 KW	400 Nm
http://www.cars-data.com//en/audi-a6-avant-45-tdi-quattro-specs/80359	Audi A6 Avant 45 TDI quattro	Audi A6 Avant	Audi	77.130	E	stationwagon	4939	1494 mm	1886 mm	1865 kg	1865 kg	147 g/km	2018	diesel	2	5	8	5	gearbox	565-1680 l	100 kg	6,5 s	front+rear	73 l	5,7 l/100km	250 km/h	695 kg	2000 kg	dohc	diesel	2967 cc	0 KW	500 Nm
http://www.cars-data.com//en/audi-a6-avant-50-tdi-quattro-specs/80360	Audi A6 Avant 50 TDI quattro	Audi A6 Avant	Audi	83.000	E	stationwagon	4939	1494 mm	1886 mm	1865 kg	1865 kg	147 g/km	2018	diesel	2	5	8	5	gearbox	565-1680 l	100 kg	5,7 s	front+rear	73 l	5,7 l/100km	250 km/h	695 kg	2000 kg	dohc	diesel	2967 cc	0 KW	620 Nm
http://www.cars-data.com//en/audi-a6-avant-45-tfsi-specs/80353	Audi A6 Avant 45 TFSI	Audi A6 Avant	Audi	67.960	C	stationwagon	4939	1494 mm	1886 mm	1680 kg	1680 kg	144 g/km	2019	petrol	2	5	7	5	gearbox	565-1680 l	100 kg	7,0 s	front	73 l	6,3 l/100km	250 km/h	630 kg	2000 kg	dohc	petrol	1984 cc	0 KW	370 Nm
http://www.cars-data.com//en/audi-a6-avant-45-tfsi-quattro-specs/80354	Audi A6 Avant 45 TFSI quattro	Audi A6 Avant	Audi	72.240	C	stationwagon	4939	1494 mm	1886 mm	1735 kg	1735 kg	147 g/km	2019	petrol	2	5	7	5	gearbox	565-1680 l	100 kg	6,2 s	front+rear	73 l	6,5 l/100km	250 km/h	665 kg	2000 kg	dohc	petrol	1984 cc	0 KW	370 Nm
http://www.cars-data.com//en/audi-a6-avant-55-tfsi-quattro-specs/80355	Audi A6 Avant 55 TFSI quattro	Audi A6 Avant	Audi	79.900	D	stationwagon	4939	1494 mm	1886 mm	1810 kg	1810 kg	160 g/km	2019	petrol	2	5	8	5	gearbox	565-1680 l	100 kg	5,3 s	front+rear	73 l	7,0 l/100km	250 km/h	670 kg	2000 kg	dohc	petrol	2995 cc	0 KW	500 Nm
http://www.cars-data.com//en/audi-a6-avant-35-tdi-specs/80356	Audi A6 Avant 35 TDI	Audi A6 Avant	Audi	60.750	B	stationwagon	4939	1494 mm	1886 mm	1685 kg	1685 kg	108 g/km	2019	diesel	2	5	7	5	gearbox	565-1680 l	100 kg	9,5 s	front	73 l	4,1 l/100km	219 km/h	645 kg	2000 kg	dohc	diesel	1968 cc	0 KW	370 Nm
http://www.cars-data.com//en/audi-a6-avant-40-tdi-quattro-specs/80358	Audi A6 Avant 40 TDI quattro	Audi A6 Avant	Audi	67.610	C	stationwagon	4939	1494 mm	1886 mm	1745 kg	1745 kg	115 g/km	2019	diesel	2	5	7	5	gearbox	565-1680 l	100 kg	7,8 s	front+rear	73 l	4,4 l/100km	241 km/h	680 kg	2000 kg	dohc	diesel	1968 cc	0 KW	400 Nm
http://www.cars-data.com//en/honda-civic-tourer-1.8-comfort-specs/76024	Honda Civic Tourer 1.8 Comfort	Honda Civic Tourer	Honda	30.580	D	stationwagon	4590	1480 mm	1770 mm	1188 kg	1188 kg	146 g/km	2015	petrol	2	5	6	5	gearbox	624-1668 l	75 kg	9,2 s	front	50 l	6,2 l/100km	210 km/h	602 kg	1400 kg	ohc	petrol	1798 cc	104 KW	174 Nm
