http://www.cars-data.com//en/mazda-mx-5-roadster-coupe-2.0-s-vt-sportive-specs/21943	Mazda MX-5 Roadster Coupe 2.0 S-VT Sportive	Mazda MX-5 Roadster Coupe	Mazda	42.995	G	cabriolet	3995	1255 mm	1720 mm	1107 kg	1107 kg	193 g/km	2006	petrol	2	2	6	2	gearbox	150 l		8,2 s	rear	50 l	8,2 l/100km	215 km/h	258 kg		dohc	petrol	1999 cc	118 KW	188 Nm
http://www.cars-data.com//en/renault-megane-1.6-16v-privilege-luxe-specs/39037	Renault Megane 1.6 16V Privilege Luxe	Renault Megane	Renault	24.195	G	hatchback	4209	1457 mm	1777 mm	1150 kg	1150 kg	163 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		10,9 s	front	60 l	6,8 l/100km	192 km/h	575 kg	1300 kg	dohc	petrol	1598 cc	83 KW	152 Nm
http://www.cars-data.com//en/renault-megane-2.0-16v-dynamique-luxe-specs/39049	Renault Megane 2.0 16V Dynamique Luxe	Renault Megane	Renault	25.295	G	hatchback	4209	1457 mm	1777 mm	1225 kg	1225 kg	191 g/km	2002	petrol	2	5	6	5	gearbox	330-1190 l		9,2 s	front	60 l	8,0 l/100km	200 km/h	565 kg	1300 kg	dohc	petrol	1998 cc	99 KW	191 Nm
http://www.cars-data.com//en/renault-megane-1.4-16v-expression-basis-specs/39010	Renault Megane 1.4 16V Expression Basis	Renault Megane	Renault	19.495	F	hatchback	4209	1457 mm	1777 mm	1140 kg	1140 kg	161 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		12,5 s	front	60 l	6,7 l/100km	183 km/h	575 kg	1300 kg	dohc	petrol	1390 cc	72 KW	127 Nm
http://www.cars-data.com//en/renault-megane-1.4-16v-expression-comfort-specs/39011	Renault Megane 1.4 16V Expression Comfort	Renault Megane	Renault	21.195	F	hatchback	4209	1457 mm	1777 mm	1140 kg	1140 kg	161 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		12,5 s	front	60 l	6,7 l/100km	183 km/h	575 kg	1300 kg	dohc	petrol	1390 cc	72 KW	127 Nm
http://www.cars-data.com//en/renault-megane-1.4-16v-dynamique-comfort-specs/39014	Renault Megane 1.4 16V Dynamique Comfort	Renault Megane	Renault	21.095	F	hatchback	4209	1457 mm	1777 mm	1140 kg	1140 kg	161 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		12,5 s	front	60 l	6,7 l/100km	183 km/h	575 kg	1300 kg	dohc	petrol	1390 cc	72 KW	127 Nm
http://www.cars-data.com//en/renault-megane-1.4-16v-expression-luxe-specs/39012	Renault Megane 1.4 16V Expression Luxe	Renault Megane	Renault	22.395	F	hatchback	4209	1457 mm	1777 mm	1140 kg	1140 kg	161 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		12,5 s	front	60 l	6,7 l/100km	183 km/h	575 kg	1300 kg	dohc	petrol	1390 cc	72 KW	127 Nm
http://www.cars-data.com//en/renault-megane-1.9-dci-120-authentique-comfort-specs/39105	Renault Megane 1.9 dCi 120 Authentique Comfort	Renault Megane	Renault	26.895	G	hatchback	4209	1457 mm	1777 mm	1245 kg	1245 kg	141 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		10,5 s	front	60 l	5,4 l/100km	196 km/h	575 kg	1300 kg	ohc	diesel	1870 cc	88 KW	300 Nm
http://www.cars-data.com//en/renault-megane-1.4-16v-dynamique-luxe-specs/39015	Renault Megane 1.4 16V Dynamique Luxe	Renault Megane	Renault	22.295	F	hatchback	4209	1457 mm	1777 mm	1140 kg	1140 kg	161 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		12,5 s	front	60 l	6,7 l/100km	183 km/h	575 kg	1300 kg	dohc	petrol	1390 cc	72 KW	127 Nm
http://www.cars-data.com//en/renault-megane-1.6-16v-dynamique-luxe-specs/39031	Renault Megane 1.6 16V Dynamique Luxe	Renault Megane	Renault	23.795	G	hatchback	4209	1457 mm	1777 mm	1150 kg	1150 kg	163 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		10,9 s	front	60 l	6,8 l/100km	192 km/h	575 kg	1300 kg	dohc	petrol	1598 cc	83 KW	152 Nm
http://www.cars-data.com//en/renault-megane-1.6-16v-privilege-comfort-specs/39035	Renault Megane 1.6 16V Privilege Comfort	Renault Megane	Renault	22.295	G	hatchback	4209	1457 mm	1777 mm	1150 kg	1150 kg	163 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		10,9 s	front	60 l	6,8 l/100km	192 km/h	575 kg	1300 kg	dohc	petrol	1598 cc	83 KW	152 Nm
http://www.cars-data.com//en/renault-megane-1.9-dci-120-privilege-luxe-specs/39113	Renault Megane 1.9 dCi 120 Privilege Luxe	Renault Megane	Renault	30.095	G	hatchback	4209	1457 mm	1777 mm	1245 kg	1245 kg	141 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		10,5 s	front	60 l	5,4 l/100km	196 km/h	575 kg	1300 kg	ohc	diesel	1870 cc	88 KW	300 Nm
http://www.cars-data.com//en/renault-megane-1.9-dci-120-privilege-comfort-specs/39112	Renault Megane 1.9 dCi 120 Privilege Comfort	Renault Megane	Renault	28.195	G	hatchback	4209	1457 mm	1777 mm	1245 kg	1245 kg	141 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		10,5 s	front	60 l	5,4 l/100km	196 km/h	575 kg	1300 kg	ohc	diesel	1870 cc	88 KW	300 Nm
http://www.cars-data.com//en/renault-megane-1.4-16v-authentique-basis-specs/39008	Renault Megane 1.4 16V Authentique Basis	Renault Megane	Renault	19.895	F	hatchback	4209	1457 mm	1777 mm	1140 kg	1140 kg	161 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		12,5 s	front	60 l	6,7 l/100km	183 km/h	575 kg	1300 kg	dohc	petrol	1390 cc	72 KW	127 Nm
http://www.cars-data.com//en/renault-megane-1.9-dci-120-dynamique-luxe-specs/39110	Renault Megane 1.9 dCi 120 Dynamique Luxe	Renault Megane	Renault	29.695	G	hatchback	4209	1457 mm	1777 mm	1245 kg	1245 kg	141 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		10,5 s	front	60 l	5,4 l/100km	196 km/h	575 kg	1300 kg	ohc	diesel	1870 cc	88 KW	300 Nm
http://www.cars-data.com//en/renault-megane-1.9-dci-120-dynamique-comfort-specs/39109	Renault Megane 1.9 dCi 120 Dynamique Comfort	Renault Megane	Renault	28.495	G	hatchback	4209	1457 mm	1777 mm	1245 kg	1245 kg	141 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		10,5 s	front	60 l	5,4 l/100km	196 km/h	575 kg	1300 kg	ohc	diesel	1870 cc	88 KW	300 Nm
http://www.cars-data.com//en/renault-megane-1.4-16v-authentique-comfort-specs/39009	Renault Megane 1.4 16V Authentique Comfort	Renault Megane	Renault	21.695	F	hatchback	4209	1457 mm	1777 mm	1140 kg	1140 kg	161 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		12,5 s	front	60 l	6,7 l/100km	183 km/h	575 kg	1300 kg	dohc	petrol	1390 cc	72 KW	127 Nm
http://www.cars-data.com//en/renault-megane-1.9-dci-120-expression-luxe-specs/39107	Renault Megane 1.9 dCi 120 Expression Luxe	Renault Megane	Renault	28.395	G	hatchback	4209	1457 mm	1777 mm	1245 kg	1245 kg	141 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		10,5 s	front	60 l	5,4 l/100km	196 km/h	575 kg	1300 kg	ohc	diesel	1870 cc	88 KW	300 Nm
